,custId,sex,isElderly,partner,dependents,membershipDuration,agreementTerm,acquisitionChannel,phoneService,multipleLines,internetService,monthlyDataUsageGb,cyberProtectionService,onlineBackup,deviceProtection,techSupport,streamingTv,streamingMovies,recurringFee,cumulativeSpend,transactionMethod,paperlessBilling,billingIssues,supportTickets,lastContactRating,serviceSatisfactionScore,mobileAppSatisfaction,networkStabilityScore,avgNetworkLatencyMs,dataLimitWarnings,loyaltyPoints,customerFeedback,competitorOffers,custExit
6517,rd84415,Male,No,Yes,No,37,One year,Referral,Yes,Yes,DSL,60.33,Yes,Yes,Yes,No,Yes,Yes,79.25,2911.8,Mailed check,No,2,2,3,5,5,6.5,56,2,963,"I have been a customer with this company for 37 months now and have been satisfied with the service overall. The DSL internet service has been reliable and the monthly charges of $79.25 are reasonable. I appreciate the option to pay by mailed check as it is convenient for me. I have not experienced any issues that would make me consider leaving, so I am happy to continue with my one-year contract.",Yes,No
6457,C60108,Male,No,No,No,39,One year,Online,Yes,No,No,75.74,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.9,791.15,Mailed check,No,No,Yes,Yes,3,3,8.6,38,3,934,"I have been a customer with this company for almost 3 years now and have been satisfied with the service. Even though I do not have internet service through them, I appreciate the affordable monthly charges and the option to pay by mailing a check. Overall, I have had no issues with the company and would recommend them to others.",No,No
5600,eI48924,Male,No,Yes,Yes,25,One year,Referral,Yes,No,No,38.02,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.6,411.15,Electronic check,No,No,No,5,4,2,9.5,75,2,850,"I have been a customer with this company for 25 months now and have not experienced any issues with churn. I have been on a one-year contract with monthly charges of $19.6, which I find to be very reasonable. Even though I do not use internet service with this company, I have found their payment method through electronic check to be convenient and easy to use. Overall, I am satisfied with my experience as a customer and would recommend this company to others.",No,No
5500,G29427,Female,No,No,No,4,Month-to-month,Online,Yes,Yes,Fiber optic,44.76,No,Yes,No,No,No,No,80.3,324.2,Mailed check,Yes,Yes,Yes,4,4,2,8.3,60,2,1437,"I have been a customer with this company for 4 months now and I am very satisfied with the service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The monthly charges of $80.3 are reasonable for the quality of service I am receiving. I appreciate the option to pay by mailed check as it is convenient for me. Overall, I have had a positive experience with this company and would recommend them to others.",Yes,No
1925,So46165,Male,No,No,No,20,One year,Store,Yes,Yes,DSL,53.28,No,Yes,No,Yes,Yes,No,68.7,1416.2,Electronic check,Yes,No,Yes,2,4,4,5.5,160,2,946,I have been a loyal customer with this internet provider for 20 months now and I have had a great experience so far. The monthly charges are reasonable at $68.7 and I appreciate being able to pay with electronic check. The DSL internet service has been reliable and I have not experienced any issues with connectivity. I am happy with the service and have no plans to switch providers.,No,No
6583,PS56321,Male,No,Yes,Yes,59,One year,Online,No,No phone service,DSL,27.01,Yes,Yes,Yes,No,No,No,34.8,1980.3,Mailed check,No,Yes,3,5,3,3,10,10,Yes,726,"I have been a customer with this company for almost five years now and I have been very satisfied with the service provided. The DSL internet service has been reliable and the monthly charges are very reasonable at $34.8. I appreciate being able to pay my bills by mailing a check, as it is convenient for me. Overall, I have no complaints and am happy to continue being a customer.",No,No
5360,cu45454,Female,No,Yes,No,41,Two year,Store,Yes,No,No,56.35,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.65,875.55,Credit card (automatic),No,Yes,2,5,5,Yes,7.3,12,3,665,"I have been a customer with this company for over three years now and I am overall satisfied with the service. The automatic credit card payment option makes it convenient for me to pay my bill each month without having to worry about missing a payment. The monthly charges are reasonable at $20.65, especially considering I do not have internet service. I appreciate the two year contract option as it offers stability and consistency in pricing. Overall, I have had a positive experience with this company and have had no issues with churn.",No,No
4384,HB76823,Female,No,Yes,No,56,One year,Store,Yes,Yes,No,26.6,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,24.3,1261.7,Electronic check,No,No,No,Yes,3,5,8.8,58,3,598,"I have been a customer with this company for over 4 years now and have been very satisfied with the service. The monthly charges are affordable at $24.3 and I appreciate the convenience of paying with electronic check. Even though I do not have internet service through this company, I have had no issues with the services I do have. Overall, I am happy to continue my contract with this company and would recommend it to others.",Yes,No
4502,mN24543,Female,No,Yes,Yes,5,Month-to-month,Store,No,No phone service,DSL,37.67,No,Yes,No,Yes,No,No,34.25,163.55,Electronic check,No,No,2,5,3,5,5.2,39,2,1409,"I have been with this internet service provider for 5 months now on a month-to-month contract. I am pleased with the reliable DSL internet service I receive for a reasonable monthly charge of $34.25. The payment process through electronic check is convenient and hassle-free. Overall, I am satisfied with my experience and have no plans to churn.",No,No
483,E50137,Female,No,Yes,No,72,One year,Store,Yes,Yes,Fiber optic,57.48,No,Yes,Yes,Yes,Yes,Yes,108.5,8003.8,Bank transfer (automatic),Yes,No,Yes,Yes,4,3,10,12,No,295,"I have been a loyal customer with this company for 6 years now and have been very satisfied with the service overall. The fiber optic internet service has been reliable and fast, and I have had no issues with connectivity or speed. The automatic bank transfer payment method makes it convenient for me to pay my monthly bill without having to worry about remembering to do so. The monthly charges of $108.5 are reasonable for the quality of service I receive. I have no complaints and would recommend this company to others.",No,No
