name,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
#fame,Media,10000000,operating,IND,16,Mumbai,Mumbai,1,,2015-01-05,2015-01-05
:Qounter,Application Platforms|Real Time|Social Network Media,700000,operating,USA,DE,DE - Other,Delaware City,2,2014-09-04,2014-03-01,2014-10-14
"(THE) ONE of THEM,Inc.",Apps|Games|Mobile,3406878,operating,,,,,1,,2014-01-30,2014-01-30
0-6.com,Curated Web,2000000,operating,CHN,22,Beijing,Beijing,1,2007-01-01,2008-03-19,2008-03-19
004 Technologies,Software,-,operating,USA,IL,"Springfield, Illinois",Champaign,1,2010-01-01,2014-07-24,2014-07-24
01Games Technology,Games,41250,operating,HKG,,Hong Kong,Hong Kong,1,,2014-07-01,2014-07-01
Ondine Biomedical Inc.,Biotechnology,762851,operating,CAN,BC,Vancouver,Vancouver,2,1997-01-01,2009-09-11,2009-12-21
H2O.ai,Analytics,33600000,operating,USA,CA,SF Bay Area,Mountain View,4,2011-01-01,2013-01-03,2015-11-09
"1,2,3 Listo",E-Commerce,40000,operating,CHL,12,Santiago,Las Condes,1,2012-01-01,2013-02-18,2013-02-18
1-4 All,Entertainment|Games|Software,-,operating,USA,NC,NC - Other,Connellys Springs,1,,2013-04-21,2013-04-21
1.618 Technology,Networking|Real Estate|Web Hosting,-,operating,USA,FL,Orlando,Orlando,1,2013-12-07,2014-01-22,2014-01-22
1-800-DENTIST,Health and Wellness,-,operating,USA,CA,Los Angeles,Los Angeles,1,1986-01-01,2010-08-19,2010-08-19
1 of 99,Entertainment|Games,100000,operating,USA,CA,SF Bay Area,Mountain View,1,2014-12-01,2014-12-13,2014-12-13
10 Minutes With,Education,4400000,operating,GBR,H9,London,London,2,2013-01-01,2013-01-01,2014-10-09
1000 Corks,Search,40000,operating,USA,OR,"Portland, Oregon",Lake Oswego,1,2008-01-01,2011-08-23,2011-08-23
1000 Markets,Art|E-Commerce|Marketplaces,500000,acquired,USA,WA,Seattle,Seattle,1,2009-01-01,2009-05-15,2009-05-15
Beijing 1000CHI Software Technology,Mobile,43923865,operating,,,,,1,2008-01-01,2010-04-01,2010-04-01
1000Lookz,Beauty,-,operating,IND,25,Chennai,Chennai,1,2008-01-01,2013-07-22,2013-07-22
1000memories,Curated Web,2535000,acquired,USA,CA,SF Bay Area,San Francisco,2,2010-07-01,2010-01-01,2011-02-16
1000museums.com,Curated Web,6795451,operating,USA,MA,MA - Other,Lenox,9,2008-01-01,2009-10-14,2015-11-13
ZenChef,Local Businesses|Restaurants,10661772.8991108,operating,FRA,A8,Paris,Paris,5,2010-11-20,2012-12-15,2015-11-04
100du.tv,Hospitality,3000000,operating,CHN,23,Shanghai,Shanghai,2,,2008-01-07,2010-08-13
100e.com,Education,4500000,operating,CHN,22,Beijing,Beijing,2,,2006-01-01,2006-09-01
Redox,Health Care|Health Care Information Technology|Hospitals,4000000,operating,USA,WI,Madison,Madison,2,2014-07-04,2014-11-26,2015-10-20
Cliptone,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,-,operating,CAN,ON,Toronto,Toronto,2,2012-03-03,2013-01-01,2014-01-01
10BestThings,Curated Web,50000,closed,USA,OH,Cleveland,Cleveland,1,2009-04-01,2009-04-01,2009-04-01
