iter	MultiClass
0	2.140772213
1	1.911242998
2	1.740353222
3	1.615710468
4	1.517874204
5	1.440735087
6	1.37493314
7	1.316269141
8	1.261687144
9	1.213898442
10	1.171118164
11	1.133845577
12	1.101864396
13	1.074151295
14	1.048349377
15	1.023934185
16	1.002594357
17	0.9855958089
18	0.9721911148
19	0.9586656447
20	0.9453235966
21	0.9338097159
22	0.9238039138
23	0.9102290103
24	0.9014589693
25	0.8917897884
26	0.8811013483
27	0.8722918634
28	0.8647764837
29	0.8557463788
30	0.849153118
31	0.8422120706
32	0.8358303148
33	0.8307142329
34	0.8259273372
35	0.8182175229
36	0.8141754599
37	0.810474621
38	0.8046355079
39	0.7978761644
40	0.7947924013
41	0.7929712322
42	0.7884837966
43	0.7840132277
44	0.7790324467
45	0.7753002566
46	0.7716713382
47	0.7682085298
48	0.7651408733
49	0.7618033404
50	0.7594075954
51	0.7558375345
52	0.7520263028
53	0.7490645522
54	0.7466050655
55	0.7437213872
56	0.7413587343
57	0.738034542
58	0.7353036501
59	0.7336272423
60	0.7317226303
61	0.7286832296
62	0.7269078423
63	0.7250426807
64	0.7224820433
65	0.719931288
66	0.7169168927
67	0.7157468487
68	0.7143311456
69	0.7118548469
70	0.7108855587
71	0.7091180196
72	0.7075197462
73	0.7058687845
74	0.7032655462
75	0.7012951872
76	0.6993650261
77	0.6978793013
78	0.6961852281
79	0.6949691936
80	0.6930928879
81	0.691619657
82	0.6900244619
83	0.6891923623
84	0.6877278957
85	0.6868482273
86	0.6862083927
87	0.6847108818
88	0.6840026278
89	0.6824264692
90	0.6803931964
91	0.6783046818
92	0.6770770241
93	0.6762584151
94	0.6746795612
95	0.6735760541
96	0.6722592279
97	0.670864505
98	0.6694581918
99	0.6686776497
100	0.6679815169
101	0.6671183732
102	0.6663464281
103	0.6653138915
104	0.6644136258
105	0.6634700557
106	0.6627341953
107	0.6609809697
108	0.6602781038
109	0.6591524812
110	0.6581590926
111	0.6569592605
112	0.6556285324
113	0.654670715
114	0.6539378576
115	0.6534010802
116	0.6518320293
117	0.651106918
118	0.6500763417
119	0.6486189043
120	0.6475447982
121	0.6455850058
122	0.6450359548
123	0.6433661009
124	0.64174014
125	0.6407271524
126	0.6397457019
127	0.6389628191
128	0.6381273048
129	0.6375109132
130	0.6366388854
131	0.6360639198
132	0.6350718146
133	0.6342293876
134	0.6337102566
135	0.6330838669
136	0.6317399092
137	0.6311991764
138	0.6305452107
139	0.6295273072
140	0.6283957392
141	0.6274580311
142	0.6264252684
143	0.6253660842
144	0.6248070242
145	0.6238844181
146	0.6234007952
147	0.6230272713
148	0.6217877245
149	0.620868117
150	0.6203505342
151	0.6194909406
152	0.6187871399
153	0.6180619901
154	0.6177793413
155	0.6174091745
156	0.6169838335
157	0.6165722954
158	0.6159215757
159	0.6151592412
160	0.6147761526
161	0.6136998799
162	0.6130763898
163	0.6125028781
164	0.6117613724
165	0.6111685323
166	0.6104729686
167	0.6097011504
168	0.6091277227
169	0.6085833558
170	0.6082388351
171	0.6074127901
172	0.606967525
173	0.6061468836
174	0.6056645447
175	0.6051549851
176	0.6045319494
177	0.6040924042
178	0.6033874603
179	0.6028461052
180	0.6023084127
181	0.6017886547
182	0.6011234042
183	0.6004306333
184	0.5999669156
185	0.5993057665
186	0.5989842253
187	0.5986938257
188	0.5983219789
189	0.5979087624
190	0.5973920415
191	0.5963438325
192	0.5959527823
193	0.5952968636
194	0.5949737011
195	0.5944858919
196	0.5942112393
197	0.5937194464
198	0.593194235
199	0.5929007556
