iter	Passed	Remaining
0	649	129258
1	1181	117003
2	1731	113705
3	2264	110963
4	2811	109657
5	3328	107619
6	3861	106470
7	4420	106088
8	4950	105053
9	5476	104053
10	5999	103078
11	6533	102363
12	7120	102423
13	7633	101415
14	8165	100709
15	8705	100108
16	9237	99440
17	9769	98778
18	10321	98322
19	10827	97449
20	11346	96713
21	11890	96205
22	12401	95439
23	12926	94795
24	13462	94240
25	13973	93514
26	14508	92965
27	15022	92283
28	15515	91489
29	16044	90917
30	16582	90401
31	17126	89912
32	17662	89380
33	18157	88651
34	18673	88033
35	19206	87498
36	19734	86940
37	20277	86447
38	20842	86040
39	21376	85505
40	21902	84939
41	22417	84331
42	22954	83810
43	23468	83206
44	23995	82652
45	24503	82032
46	25004	81399
47	25551	80913
48	26073	80350
49	26598	79795
50	27158	79344
51	27661	78729
52	28220	78272
53	28749	77730
54	29247	77107
55	29759	76524
56	30294	76002
57	30814	75441
58	31326	74866
59	31947	74544
60	32506	74071
61	33084	73640
62	33745	73383
63	34458	73223
64	35142	72988
65	35817	72720
66	36504	72464
67	37294	72395
68	37909	71973
69	38448	71403
70	38980	70823
71	39505	70231
72	40055	69685
73	40592	69117
74	41152	68588
75	41686	68015
76	42266	67516
77	42829	66990
78	43441	66536
79	43958	65937
80	44513	65397
81	45066	64851
82	45578	64249
83	46126	63697
84	46680	63155
85	47235	62614
86	47772	62048
87	48268	61433
88	48794	60856
89	49288	60241
90	49801	59652
91	50318	59069
92	50839	58493
93	51335	57888
94	51866	57326
95	52380	56745
96	52881	56152
97	53410	55590
98	53921	55011
99	54420	54420
100	54940	53852
101	55469	53294
102	55968	52708
103	56487	52142
104	57062	51628
105	57563	51046
106	58081	50482
107	58602	49920
108	59111	49349
109	59643	48799
110	60187	48258
111	60711	47701
112	61241	47150
113	61769	46598
114	62298	46046
115	62839	45504
116	63376	44959
117	63876	44388
118	64434	43859
119	64955	43303
120	65461	42739
121	65987	42188
122	66529	41648
123	67063	41103
124	67624	40574
125	68117	40005
126	68619	39442
127	69165	38905
128	69696	38360
129	70218	37810
130	70736	37258
131	71246	36702
132	71762	36150
133	72284	35602
134	72799	35051
135	73315	34501
136	73861	33965
137	74396	33424
138	74910	32874
139	75450	32336
140	75958	31783
141	76502	31247
142	77071	30720
143	77573	30167
144	78084	29618
145	78645	29087
146	79147	28536
147	79658	27988
148	80195	27449
149	80714	26904
150	81255	26367
151	81816	25836
152	82321	25288
153	82859	24750
154	83370	24204
155	83887	23660
156	84406	23117
157	84907	22570
158	85431	22029
159	85935	21483
160	86458	20943
161	87029	20414
162	87593	19883
163	88114	19342
164	88757	18827
165	89248	18279
166	89752	17735
167	90279	17196
168	90797	16655
169	91317	16114
170	91818	15571
171	92344	15032
172	92868	14493
173	93371	13952
174	93892	13413
175	94388	12871
176	94886	12329
177	95420	11793
178	95939	11255
179	96468	10718
180	97033	10185
181	97541	9646
182	98073	9110
183	98578	8572
184	99106	8035
185	99630	7499
186	100180	6964
187	100697	6427
188	101193	5889
189	101710	5353
190	102223	4816
191	102758	4281
192	103284	3746
193	103847	3211
194	104357	2675
195	104880	2140
196	105384	1604
197	105903	1069
198	106420	534
199	106967	0
